Customer Name,Address,Amount,Transaction Date,Transaction Type
John Doe,123 Main St; Anytown; USA,347.89,03-15-2024,Deposit
Jane Smith,456 Elm St; Anycity; USA,671.25,07-22-2024,Withdrawal
Michael Johnson,101 Pine St; Anyvillage; USA,492.73,09-11-2024,Transfer
Emily Brown,202 Maple St; Anyborough; USA,756.84,05-09-2024,Transfer
William Davis,789 Oak St; Anystate; USA,125.61,11-28-2024,Withdrawal
John Doe,789 Oak St; Anystate; USA,547.91,07-17-2024,Transfer
Jane Smith,202 Maple St; Anyborough; USA,218.73,04-03-2024,Deposit
Michael Johnson,123 Main St; Anytown; USA,286.15,08-08-2024,Withdrawal
Emily Brown,456 Elm St; Anycity; USA,179.49,02-19-2024,Transfer
William Davis,101 Pine St; Anyvillage; USA,92.44,10-06-2024,Withdrawal
John Doe,101 Pine St; Anyvillage; USA,828.56,01-14-2024,Transfer
Jane Smith,789 Oak St; Anystate; USA,527.37,06-30-2024,Deposit
Michael Johnson,456 Elm St; Anycity; USA,614.71,09-25-2024,Transfer
Emily Brown,123 Main St; Anytown; USA,311.48,03-04-2024,Transfer
William Davis,202 Maple St; Anyborough; USA,418.92,11-15-2024,Deposit
John Doe,202 Maple St; Anyborough; USA,72.34,08-22-2024,Deposit
Jane Smith,123 Main St; Anytown; USA,933.77,07-09-2024,Withdrawal
Michael Johnson,101 Pine St; Anyvillage; USA,88.26,04-27-2024,Withdrawal
Emily Brown,789 Oak St; Anystate; USA,759.02,12-18-2024,Deposit
William Davis,456 Elm St; Anycity; USA,525.48,05-05-2024,Transfer
John Doe,789 Oak St; Anystate; USA,143.67,10-23-2024,Transfer
Jane Smith,123 Main St; Anytown; USA,603.16,02-11-2024,Deposit
Michael Johnson,202 Maple St; Anyborough; USA,282.01,09-06-2024,Deposit
Emily Brown,456 Elm St; Anycity; USA,486.39,03-26-2024,Transfer
William Davis,101 Pine St; Anyvillage; USA,752.98,11-01-2024,Transfer
John Doe,789 Oak St; Anystate; USA,869.12,05-19-2024,Withdrawal
Jane Smith,456 Elm St; Anycity; USA,94.28,07-05-2024,Transfer
Michael Johnson,101 Pine St; Anyvillage; USA,670.57,01-31-2024,Transfer
Emily Brown,789 Oak St; Anystate; USA,119.64,10-10-2024,Withdrawal
William Davis,123 Main St; Anytown; USA,315.77,06-27-2024,Transfer
John Doe,202 Maple St; Anyborough; USA,768.21,02-16-2024,Deposit
Jane Smith,101 Pine St; Anyvillage; USA,595.42,08-03-2024,Deposit
Michael Johnson,789 Oak St; Anystate; USA,231.98,12-29-2024,Withdrawal
Emily Brown,123 Main St; Anytown; USA,487.33,05-16-2024,Transfer
William Davis,456 Elm St; Anycity; USA,619.01,01-03-2024,Transfer
John Doe,202 Maple St; Anyborough; USA,147.28,09-20-2024,Deposit
Jane Smith,789 Oak St; Anystate; USA,740.84,04-07-2024,Withdrawal
Michael Johnson,456 Elm St; Anycity; USA,891.65,10-24-2024,Transfer
Emily Brown,101 Pine St; Anyvillage; USA,279.56,07-11-2024,Deposit
William Davis,202 Maple St; Anyborough; USA,399.13,02-28-2024,Deposit
John Doe,123 Main St; Anytown; USA,656.89,08-17-2024,Withdrawal
Jane Smith,456 Elm St; Anycity; USA,112.35,03-06-2024,Transfer
Michael Johnson,789 Oak St; Anystate; USA,847.22,10-01-2024,Withdrawal
Emily Brown,101 Pine St; Anyvillage; USA,524.09,05-19-2024,Deposit
William Davis,123 Main St; Anytown; USA,312.76,12-07-2024,Withdrawal
John Doe,202 Maple St; Anyborough; USA,685.43,04-24-2024,Withdrawal
Jane Smith,789 Oak St; Anystate; USA,95.17,11-10-2024,Deposit
Michael Johnson,456 Elm St; Anycity; USA,628.88,07-28-2024,Transfer
Emily Brown,101 Pine St; Anyvillage; USA,218.05,02-14-2024,Transfer
William Davis,202 Maple St; Anyborough; USA,366.29,09-02-2024,Transfer
John Doe,789 Oak St; Anystate; USA,527.74,05-20-2024,Deposit
Jane Smith,123 Main St; Anytown; USA,481.66,01-06-2024,Transfer
Michael Johnson,456 Elm St; Anycity; USA,834.27,08-23-2024,Withdrawal
Emily Brown,789 Oak St; Anystate; USA,742.38,03-11-2024,Withdrawal
William Davis,101 Pine St; Anyvillage; USA,82.94,10-28-2024,Deposit
John Doe,123 Main St; Anytown; USA,612.15,07-15-2024,Withdrawal
Jane Smith,202 Maple St; Anyborough; USA,383.79,03-02-2024,Transfer
Michael Johnson,456 Elm St; Anycity; USA,174.67,11-19-2024,Deposit
